Cause_of_death,Location,FIPS,Year,Mortality_rate
HIV-AIDS & tuberculosis,New Mexico,35.0,2010,1.74
HIV-AIDS & tuberculosis,New York,36.0,2010,6.57
HIV-AIDS & tuberculosis,North Carolina,37.0,2010,3.50
HIV-AIDS & tuberculosis,North Dakota,38.0,2010,0.60
HIV-AIDS & tuberculosis,Ohio,39.0,2010,1.56
HIV-AIDS & tuberculosis,Oklahoma,40.0,2010,2.01
HIV-AIDS & tuberculosis,Oregon,41.0,2010,1.47
HIV-AIDS & tuberculosis,Pennsylvania,42.0,2010,2.38
HIV-AIDS & tuberculosis,Rhode Island,44.0,2010,2.08
HIV-AIDS & tuberculosis,South Carolina,45.0,2010,4.41
HIV-AIDS & tuberculosis,South Dakota,46.0,2010,0.88
HIV-AIDS & tuberculosis,Tennessee,47.0,2010,3.18
HIV-AIDS & tuberculosis,Texas,48.0,2010,3.71
HIV-AIDS & tuberculosis,Utah,49.0,2010,0.92
HIV-AIDS & tuberculosis,Vermont,50.0,2010,0.71
HIV-AIDS & tuberculosis,Virginia,51.0,2010,2.33
HIV-AIDS & tuberculosis,Washington,53.0,2010,1.45
HIV-AIDS & tuberculosis,West Virginia,54.0,2010,1.15
HIV-AIDS & tuberculosis,Wisconsin,55.0,2010,0.93
HIV-AIDS & tuberculosis,Wyoming,56.0,2010,0.58
HIV-AIDS & tuberculosis,United States,,2014,2.66
HIV-AIDS & tuberculosis,Alabama,1.0,2014,2.94
HIV-AIDS & tuberculosis,Alaska,2.0,2014,1.27
HIV-AIDS & tuberculosis,Arizona,4.0,2014,1.82
HIV-AIDS & tuberculosis,Arkansas,5.0,2014,2.10
HIV-AIDS & tuberculosis,California,6.0,2014,2.47
HIV-AIDS & tuberculosis,Colorado,8.0,2014,1.19
HIV-AIDS & tuberculosis,Connecticut,9.0,2014,2.51
HIV-AIDS & tuberculosis,Delaware,10.0,2014,4.42
HIV-AIDS & tuberculosis,District of Columbia,11.0,2014,16.59
HIV-AIDS & tuberculosis,Florida,12.0,2014,5.36
HIV-AIDS & tuberculosis,Georgia,13.0,2014,4.61
HIV-AIDS & tuberculosis,Hawaii,15.0,2014,1.31
HIV-AIDS & tuberculosis,Idaho,16.0,2014,0.53
HIV-AIDS & tuberculosis,Illinois,17.0,2014,1.86
HIV-AIDS & tuberculosis,Indiana,18.0,2014,1.32
HIV-AIDS & tuberculosis,Iowa,19.0,2014,0.63
HIV-AIDS & tuberculosis,Kansas,20.0,2014,0.91
HIV-AIDS & tuberculosis,Kentucky,21.0,2014,1.32
HIV-AIDS & tuberculosis,Louisiana,22.0,2014,5.13
HIV-AIDS & tuberculosis,Maine,23.0,2014,0.72
HIV-AIDS & tuberculosis,Maryland,24.0,2014,4.42
HIV-AIDS & tuberculosis,Massachusetts,25.0,2014,1.74
HIV-AIDS & tuberculosis,Michigan,26.0,2014,1.25
HIV-AIDS & tuberculosis,Minnesota,27.0,2014,0.78
HIV-AIDS & tuberculosis,Mississippi,28.0,2014,4.35
HIV-AIDS & tuberculosis,Missouri,29.0,2014,1.44
HIV-AIDS & tuberculosis,Montana,30.0,2014,0.55
HIV-AIDS & tuberculosis,Nebraska,31.0,2014,0.96
HIV-AIDS & tuberculosis,Nevada,32.0,2014,2.50
HIV-AIDS & tuberculosis,New Hampshire,33.0,2014,0.53
HIV-AIDS & tuberculosis,New Jersey,34.0,2014,4.08
HIV-AIDS & tuberculosis,New Mexico,35.0,2014,1.46
HIV-AIDS & tuberculosis,New York,36.0,2014,4.87
HIV-AIDS & tuberculosis,North Carolina,37.0,2014,3.08
HIV-AIDS & tuberculosis,North Dakota,38.0,2014,0.48
HIV-AIDS & tuberculosis,Ohio,39.0,2014,1.36
HIV-AIDS & tuberculosis,Oklahoma,40.0,2014,1.79
HIV-AIDS & tuberculosis,Oregon,41.0,2014,1.19
HIV-AIDS & tuberculosis,Pennsylvania,42.0,2014,1.87
HIV-AIDS & tuberculosis,Rhode Island,44.0,2014,1.54
HIV-AIDS & tuberculosis,South Carolina,45.0,2014,3.97
HIV-AIDS & tuberculosis,South Dakota,46.0,2014,0.72
HIV-AIDS & tuberculosis,Tennessee,47.0,2014,2.70
HIV-AIDS & tuberculosis,Texas,48.0,2014,3.21
HIV-AIDS & tuberculosis,Utah,49.0,2014,0.67
HIV-AIDS & tuberculosis,Vermont,50.0,2014,0.54
HIV-AIDS & tuberculosis,Virginia,51.0,2014,1.94
HIV-AIDS & tuberculosis,Washington,53.0,2014,1.19
HIV-AIDS & tuberculosis,West Virginia,54.0,2014,0.94
HIV-AIDS & tuberculosis,Wisconsin,55.0,2014,0.75
HIV-AIDS & tuberculosis,Wyoming,56.0,2014,0.46
"Diarrhea, lower respiratory",United States,,1980,38.54
"Diarrhea, lower respiratory",Alabama,1.0,1980,35.18
"Diarrhea, lower respiratory",Alaska,2.0,1980,44.29
"Diarrhea, lower respiratory",Arizona,4.0,1980,39.67
"Diarrhea, lower respiratory",Arkansas,5.0,1980,37.29
"Diarrhea, lower respiratory",California,6.0,1980,42.03
"Diarrhea, lower respiratory",Colorado,8.0,1980,43.57
"Diarrhea, lower respiratory",Connecticut,9.0,1980,39.56
"Diarrhea, lower respiratory",Delaware,10.0,1980,33.46
"Diarrhea, lower respiratory",District of Columbia,11.0,1980,60.61
"Diarrhea, lower respiratory",Florida,12.0,1980,27.59
"Diarrhea, lower respiratory",Georgia,13.0,1980,44.23
"Diarrhea, lower respiratory",Hawaii,15.0,1980,34.81
"Diarrhea, lower respiratory",Idaho,16.0,1980,38.90
"Diarrhea, lower respiratory",Illinois,17.0,1980,37.33
"Diarrhea, lower respiratory",Indiana,18.0,1980,34.40
